"Age","Sex","Job","Housing","Saving.accounts","Checking.account","Duration","Purpose","Credit.amount"
32,"female",2,"own","little","moderate",27,"business",2528
24,"male",2,"own","moderate","moderate",48,"car",6560
25,"female",2,"own","little","moderate",9,"radio/TV",1206
37,"male",1,"own","little","moderate",9,"radio/TV",2118
32,"male",3,"own","quite rich","moderate",18,"radio/TV",629
27,"male",3,"own","little","moderate",60,"car",14027
63,"male",2,"own","little","little",30,"car",7596
32,"male",3,"free","little","little",18,"radio/TV",1505
34,"male",3,"own","little","rich",9,"radio/TV",1337
24,"female",2,"rent","rich","moderate",6,"education",433
24,"female",1,"own","little","little",12,"car",1228
66,"female",1,"own","quite rich","moderate",9,"radio/TV",790
21,"female",2,"rent","little","little",27,"car",2570
47,"male",1,"own","quite rich","moderate",15,"radio/TV",1316
25,"female",2,"rent","little","little",18,"radio/TV",1882
28,"female",2,"rent","rich","moderate",24,"car",2603
37,"female",2,"own","little","little",4,"car",3380
29,"female",0,"own","little","moderate",36,"domestic appliances",3990
23,"female",3,"rent","little","moderate",24,"car",11560
45,"male",3,"own","little","little",6,"car",6761
32,"male",2,"own","moderate","little",24,"car",2325
41,"male",2,"own","quite rich","moderate",21,"radio/TV",3160
22,"male",2,"own","quite rich","little",24,"furniture/equipment",2483
30,"male",3,"own","little","little",39,"furniture/equipment",14179
28,"male",1,"own","little","little",13,"business",1797
23,"female",2,"rent","little","little",15,"car",2511
37,"female",1,"own","little","little",12,"car",1274
33,"male",2,"own","little","little",15,"car",3029
49,"female",2,"own","little","little",6,"furniture/equipment",428
23,"female",1,"own","little","little",18,"car",976
25,"female",2,"own","little","moderate",30,"radio/TV",5771
55,"male",2,"free","rich","moderate",12,"repairs",1555
32,"female",2,"rent","little","little",24,"car",1285
74,"male",0,"own","little","rich",6,"car",1299
39,"male",2,"free","little","rich",15,"radio/TV",1271
35,"male",2,"own","little","little",12,"car",691
59,"female",2,"own","little","little",15,"car",5045
24,"female",2,"rent","little","little",18,"furniture/equipment",2124
30,"male",3,"free","little","little",21,"car",12680
27,"male",2,"own","moderate","moderate",24,"car",2463
31,"male",1,"own","little","little",30,"furniture/equipment",3108
31,"female",2,"rent","rich","moderate",10,"car",2901
28,"male",2,"rent","little","moderate",12,"furniture/equipment",3617
63,"male",1,"own","little","little",12,"radio/TV",1655
26,"female",2,"rent","little","little",24,"car",2812
25,"female",3,"own","little","little",36,"education",8065
52,"male",2,"own","moderate","moderate",24,"radio/TV",2223
66,"male",0,"free","quite rich","rich",12,"car",1480
37,"male",2,"own","little","little",36,"car",3535
25,"female",2,"own","little","little",18,"radio/TV",3509
25,"male",2,"own","little","moderate",39,"radio/TV",4933
60,"male",2,"own","rich","moderate",24,"car",1940
31,"male",1,"own","little","moderate",12,"education",1410
23,"female",1,"own","moderate","moderate",12,"car",836
60,"male",3,"own","rich","moderate",20,"car",6468
35,"male",1,"own","rich","moderate",18,"business",1941
40,"male",2,"own","quite rich","moderate",22,"radio/TV",2675
38,"male",2,"own","quite rich","moderate",48,"car",2751
50,"male",2,"free","little","moderate",48,"education",6224
27,"male",2,"own","little","little",40,"education",5998
41,"male",3,"own","little","little",24,"car",6313
51,"male",2,"free","little","rich",24,"furniture/equipment",2892
32,"male",2,"rent","quite rich","little",24,"furniture/equipment",3062
22,"female",2,"rent","moderate","moderate",9,"furniture/equipment",2301
51,"male",2,"free","little","little",18,"car",7511
22,"female",1,"rent","little","little",12,"furniture/equipment",1258
54,"male",2,"own","rich","moderate",24,"car",717
54,"male",2,"free","little","moderate",24,"education",1597
24,"female",2,"own","little","little",20,"furniture/equipment",4272
35,"male",2,"own","quite rich","moderate",12,"radio/TV",976
24,"female",0,"rent","moderate","moderate",12,"car",7472
24,"male",2,"own","little","little",36,"car",9271
65,"male",2,"own","little","little",12,"radio/TV",930
55,"male",3,"free","little","moderate",42,"car",9283
26,"female",0,"rent","little","moderate",15,"car",1778
26,"male",2,"own","little","moderate",8,"business",907
24,"male",2,"own","little","little",36,"car",9629
54,"male",2,"own","little","little",48,"domestic appliances",3051
46,"male",2,"free","little","little",48,"car",3931
54,"female",2,"rent","little","moderate",36,"car",7432
62,"male",2,"own","quite rich","little",6,"domestic appliances",1338
24,"female",2,"rent","little","little",6,"radio/TV",1554
27,"male",2,"own","little","little",12,"car",1101
24,"male",2,"own","little","rich",12,"radio/TV",3016
41,"male",2,"own","little","little",36,"furniture/equipment",2712
47,"male",1,"own","little","little",8,"car",731
35,"male",3,"own","little","moderate",18,"furniture/equipment",3780
30,"male",2,"own","little","little",21,"car",1602
33,"female",2,"rent","little","little",18,"car",3966
36,"male",2,"own","little","moderate",18,"business",4165
38,"male",2,"free","moderate","moderate",48,"business",6681
44,"male",2,"own","quite rich","moderate",24,"business",2375
23,"female",2,"rent","little","little",18,"car",1216
25,"female",1,"own","little","rich",15,"radio/TV",2327
48,"male",2,"own","little","little",12,"car",1082
23,"female",1,"rent","little","little",4,"furniture/equipment",601
63,"male",2,"own","little","little",24,"car",2957
46,"male",2,"own","little","rich",24,"radio/TV",2611
29,"male",2,"own","little","little",36,"furniture/equipment",5179
28,"male",1,"own","little","little",21,"car",2993
23,"female",2,"own","little","little",18,"repairs",1943
50,"male",2,"own","little","little",24,"business",1559
47,"male",2,"own","little","little",18,"furniture/equipment",3422
35,"male",2,"own","rich","moderate",21,"furniture/equipment",3976
68,"male",2,"rent","little","little",18,"car",6761
28,"male",2,"own","little","little",24,"car",1249
59,"male",2,"own","little","little",9,"radio/TV",1364
57,"male",1,"own","little","little",12,"radio/TV",709
33,"male",2,"rent","little","little",20,"car",2235
43,"male",2,"own","little","little",24,"car",4042
35,"male",2,"free","little","rich",15,"radio/TV",1471
32,"male",1,"free","little","little",18,"car",1442
45,"male",2,"own","little","little",36,"car",10875
33,"male",2,"own","moderate","moderate",24,"car",1474
29,"female",2,"own","little","little",15,"car",3959
26,"male",2,"rent","moderate","moderate",9,"car",3577
27,"male",2,"own","rich","moderate",24,"car",5804
28,"male",2,"own","little","moderate",18,"business",2169
32,"male",1,"own","rich","moderate",27,"furniture/equipment",4526
25,"male",1,"rent","little","little",10,"furniture/equipment",2210
20,"female",2,"rent","quite rich","little",15,"furniture/equipment",2221
27,"female",2,"own","little","little",18,"radio/TV",2389
42,"male",2,"own","little","little",12,"furniture/equipment",3331
37,"male",2,"own","moderate","moderate",36,"business",7409
24,"female",2,"rent","little","little",12,"furniture/equipment",652
40,"female",2,"own","quite rich","moderate",36,"furniture/equipment",7678
46,"male",2,"own","little","rich",6,"car",1343
26,"male",2,"own","moderate","little",24,"business",1382
24,"female",2,"own","little","little",15,"domestic appliances",874
29,"male",1,"own","little","little",12,"furniture/equipment",3590
40,"female",2,"own","rich","moderate",11,"car",1322
36,"male",3,"free","little","little",18,"radio/TV",1940
27,"male",3,"free","little","little",9,"car",1422
36,"male",2,"own","quite rich","moderate",30,"radio/TV",6742
38,"male",3,"own","little","moderate",24,"car",7814
48,"male",2,"free","little","little",24,"car",9277
36,"male",2,"own","rich","moderate",30,"car",2181
43,"male",2,"own","little","moderate",24,"furniture/equipment",4057
53,"female",2,"own","little","little",12,"education",795
23,"male",2,"own","little","moderate",48,"business",15672
34,"male",3,"own","little","moderate",36,"car",6614
40,"male",2,"rent","little","little",28,"car",7824
46,"male",2,"own","little","rich",15,"radio/TV",1829
38,"male",1,"own","little","little",12,"car",2171
34,"male",2,"own","little","moderate",36,"car",5800
29,"male",2,"own","little","rich",18,"radio/TV",1169
28,"female",3,"rent","little","little",21,"radio/TV",2606
35,"female",2,"own","rich","moderate",12,"furniture/equipment",1592
42,"male",2,"own","little","little",18,"furniture/equipment",4153
43,"male",2,"rent","little","little",16,"car",2625
44,"male",2,"own","little","little",20,"car",3485
42,"male",2,"free","little","little",36,"car",10477
40,"male",2,"rent","little","rich",15,"radio/TV",1386
36,"male",3,"own","little","little",24,"radio/TV",1278
20,"male",3,"rent","little","little",12,"radio/TV",1107
24,"male",1,"own","little","little",21,"car",3763
33,"female",1,"own","moderate","moderate",9,"car",3195
25,"female",2,"own","little","moderate",30,"radio/TV",2991
28,"male",2,"own","rich","moderate",11,"business",2142
31,"male",2,"rent","little","little",24,"business",3161
32,"male",2,"own","moderate","moderate",10,"car",2848
68,"male",3,"own","little","little",6,"car",14896
39,"male",3,"rent","little","little",24,"furniture/equipment",3345
28,"female",2,"own","little","little",18,"furniture/equipment",1817
37,"male",3,"own","quite rich","moderate",48,"radio/TV",12749
22,"female",2,"rent","little","little",9,"radio/TV",1366
55,"male",2,"own","little","little",24,"furniture/equipment",6872
46,"male",2,"own","little","little",12,"car",697
21,"female",2,"rent","little","little",18,"furniture/equipment",1049
58,"male",2,"own","little","rich",30,"radio/TV",1867
43,"male",1,"own","little","little",12,"car",1344
24,"male",1,"own","little","little",24,"furniture/equipment",1747
22,"female",2,"own","little","moderate",9,"radio/TV",1670
30,"male",2,"own","little","little",9,"car",1224
23,"female",2,"own","little","little",12,"radio/TV",1498
30,"male",3,"own","moderate","moderate",30,"radio/TV",1919
28,"female",1,"own","little","rich",9,"radio/TV",745
42,"male",2,"free","little","moderate",60,"education",6288
46,"male",3,"own","little","little",24,"car",6842
45,"male",3,"own","little","little",12,"car",3527
31,"male",1,"own","little","rich",10,"car",1546
31,"male",2,"own","little","little",24,"furniture/equipment",929
42,"male",1,"own","little","little",4,"car",1455
46,"female",2,"rent","little","little",15,"furniture/equipment",1845
30,"male",2,"free","quite rich","little",24,"furniture/equipment",3349
38,"male",3,"own","quite rich","moderate",12,"car",2859
43,"male",1,"own","little","little",18,"furniture/equipment",1533
31,"male",2,"own","moderate","moderate",24,"radio/TV",3621
40,"male",0,"own","little","moderate",18,"business",3590
24,"male",2,"own","little","little",36,"business",2145
28,"female",2,"rent","quite rich","moderate",24,"car",4113
26,"female",3,"own","little","little",36,"furniture/equipment",10974
45,"male",1,"own","little","little",28,"car",4006
30,"male",2,"free","moderate","moderate",24,"furniture/equipment",3069
35,"male",2,"own","quite rich","moderate",24,"radio/TV",2397
26,"female",2,"own","little","moderate",30,"radio/TV",1715
54,"female",3,"rent","little","rich",15,"radio/TV",3568
29,"male",2,"rent","little","little",42,"radio/TV",7166
40,"male",1,"own","little","little",11,"car",3939
22,"male",2,"own","moderate","moderate",15,"repairs",1514
43,"male",1,"own","little","little",24,"car",7393
29,"female",0,"rent","little","little",24,"car",1193
36,"male",2,"rent","little","little",60,"business",7297
33,"female",2,"own","little","moderate",30,"radio/TV",2831
57,"female",1,"own","quite rich","rich",24,"radio/TV",1258
64,"female",2,"own","little","moderate",6,"radio/TV",753
25,"male",2,"rent","moderate","moderate",15,"car",1264
49,"male",2,"own","little","moderate",30,"furniture/equipment",8386
28,"female",3,"own","moderate","rich",21,"car",2923
26,"male",2,"own","little","little",36,"car",8229
30,"male",1,"own","little","little",24,"furniture/equipment",2028
25,"female",2,"rent","little","little",15,"furniture/equipment",1433
33,"male",2,"own","little","rich",42,"business",6289
64,"female",2,"own","moderate","rich",13,"radio/TV",1409
48,"male",1,"own","little","moderate",24,"radio/TV",1743
34,"male",1,"own","moderate","moderate",15,"radio/TV",1569
23,"male",1,"rent","little","little",18,"radio/TV",1936
31,"female",1,"own","little","little",12,"furniture/equipment",1736
40,"male",3,"own","little","little",30,"car",3857
38,"male",2,"own","little","rich",12,"radio/TV",804
23,"male",2,"free","little","little",45,"radio/TV",1845
27,"male",2,"own","moderate","moderate",45,"car",4576
